"Any","Codi municipi","Municipi","Comarca","Població","Autocompostatge","Matèria orgànica","Poda i jardineria","Paper i cartró","Vidre","Envasos lleugers","Residus voluminosos + fusta","RAEE","Ferralla","Olis vegetals","Tèxtil","Runes","Residus en Petites Quantitats (RPQ)","Piles","Medicaments","Altres recollides selectives","Total Recollida Selectiva","R.S. / R.M. % total","Kg/hab/any recollida selectiva","Resta a Dipòsit","Resta a Incineració","Resta a Tractament Mecànic Biològic","Resta (sense desglossar)","Suma Fracció Resta","F.R. / R.M. %","Generació Residus Municipal Totals","Kg / hab / dia","Kg / hab / any"
"2000","80039","Alella","Maresme","7.696","0,00","0,00","0,00","179,53","117,72","24,78","251,13","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,36","0,00","573,52","9,87","74,52","0,00","0,00","0,00","5.238,42","5.238,42","90,13","5.811,94","2,07","755,19"
"2000","430081","Alfara de Carles","Baix Ebre","383","0,00","0,00","0,00","7,76","3,50","0,55","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,00","11,83","11,11","30,88","0,00","0,00","0,00","94,60","94,60","88,89","106,43","0,76","277,88"
"2000","250138","Alfarràs","Segrià","2.947","0,00","0,00","0,00","16,57","18,20","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,14","0,00","34,91","3,30","11,85","0,00","0,00","0,00","1.023,07","1.023,07","96,70","1.057,98","0,98","359,00"
"2000","250143","Alfés","Segrià","345","0,00","0,00","0,00","1,88","3,60","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,00","5,49","4,38","15,92","0,00","0,00","0,00","119,77","119,77","95,62","125,26","0,99","363,07"
"2000","430094","Alforja","Baix Camp","1.179","0,00","57,90","0,00","15,99","12,37","3,09","27,74","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,06","0,00","117,15","18,86","99,36","0,00","0,00","0,00","504,13","504,13","81,14","621,28","1,44","526,95"
"2000","250156","Algerri","Noguera","522","0,00","0,00","0,00","2,03","7,20","0,94","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,02","0,49","10,69","4,05","20,48","0,00","0,00","0,00","253,11","253,11","95,95","263,80","1,38","505,37"
"2000","250169","Alguaire","Segrià","2.825","0,00","0,00","0,00","16,03","14,20","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,13","0,00","30,37","3,00","10,75","0,00","0,00","0,00","980,71","980,71","97,00","1.011,08","0,98","357,90"
"2000","250175","Alins","Pallars Sobirà","287","0,00","0,00","0,00","4,19","10,05","0,87","0,40","0,00","0,00","0,00","0,00","0,00","0,00","0,04","0,01","1,03","16,60","5,59","57,83","0,00","0,00","0,00","280,34","280,34","94,41","296,93","2,83","1.034,61"
"2000","430108","Alió","Alt Camp","339","0,00","0,00","0,00","4,63","7,00","1,38","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,00","13,03","11,32","38,42","0,00","0,00","0,00","102,04","102,04","88,68","115,07","0,93","339,43"
"2000","250194","Almacelles","Segrià","5.475","0,00","0,00","0,00","32,09","37,40","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,14","0,26","0,00","69,89","3,45","12,77","0,00","0,00","0,00","1.953,88","1.953,88","96,55","2.023,77","1,01","369,64"
"2000","250208","Almatret","Segrià","516","0,00","0,00","0,00","2,69","9,80","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,00","12,51","6,53","24,24","0,00","0,00","0,00","179,13","179,13","93,47","191,64","1,02","371,40"
"2000","250215","Almenar","Segrià","3.439","0,00","0,00","0,00","19,45","19,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,17","0,16","0,00","38,78","3,15","11,28","0,00","0,00","0,00","1.193,87","1.193,87","96,85","1.232,65","0,98","358,43"
"2000","430115","Almoster","Baix Camp","679","0,00","0,00","0,00","9,26","11,00","3,92","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,03","0,00","24,21","5,41","35,66","0,00","0,00","0,00","423,00","423,00","94,59","447,21","1,80","658,63"
"2000","250220","Alòs de Balaguer","Noguera","188","0,00","0,00","0,00","0,54","3,20","0,37","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,17","4,30","6,74","22,88","0,00","0,00","0,00","59,55","59,55","93,26","63,85","0,93","339,64"
"2000","170062","Alp","Cerdanya","1.012","0,00","0,00","0,00","43,37","46,21","0,00","4,43","0,00","0,00","0,00","0,00","0,00","0,00","0,08","0,05","4,24","98,37","7,64","97,20","0,00","0,00","0,00","1.189,94","1.189,94","92,36","1.288,31","3,49","1.273,03"
"2000","80044","Alpens","Osona","256","0,00","0,00","0,00","15,80","4,64","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,00","20,45","17,83","79,89","0,00","0,00","0,00","94,23","94,23","82,17","114,68","1,23","447,98"
"2000","250236","Alpicat","Segrià","3.412","0,00","0,00","0,00","21,40","34,60","2,17","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,16","0,00","58,33","4,69","17,10","0,00","0,00","0,00","1.184,49","1.184,49","95,31","1.242,83","1,00","364,25"
"2000","250241","Alt Àneu","Pallars Sobirà","375","0,00","0,00","0,00","10,47","28,60","0,76","1,23","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","12,98","54,04","12,86","144,11","0,00","0,00","0,00","366,29","366,29","87,14","420,34","3,07","1.120,90"
"2000","430120","Altafulla","Tarragonès","2.555","0,00","0,00","0,00","30,79","99,97","9,14","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,12","0,00","140,02","4,15","54,80","0,00","0,00","0,00","3.238,00","3.238,00","95,85","3.378,02","3,62","1.322,12"
"2000","170078","Amer","Selva","2.276","0,00","0,00","0,00","29,47","36,00","7,69","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,11","0,00","73,27","7,77","32,19","0,00","0,00","0,00","869,90","869,90","92,23","943,17","1,14","414,40"
"2000","430136","Ametlla de Mar, l'","Baix Ebre","4.341","0,00","0,00","0,00","70,16","75,90","7,64","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,30","0,20","0,00","154,20","2,13","35,52","0,00","0,00","0,00","7.077,96","7.077,96","97,87","7.232,16","4,56","1.666,01"
"2000","80057","Ametlla del Vallès, l'","Vallès Oriental","4.771","0,00","0,00","24,68","109,18","109,85","16,88","79,19","0,00","0,00","0,00","0,00","0,00","0,00","0,62","0,23","187,92","528,55","15,50","110,78","0,00","0,00","0,00","2.881,08","2.881,08","84,50","3.409,63","1,96","714,66"
"2000","439060","Ampolla, l'","Baix Ebre","1.667","0,00","0,00","0,00","19,22","40,74","3,22","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,28","0,08","0,00","63,54","3,45","38,12","0,00","0,00","0,00","1.776,02","1.776,02","96,55","1.839,56","3,02","1.103,51"
"2000","430141","Amposta","Montsià","15.900","0,00","0,00","0,00","377,91","180,77","35,34","46,46","0,00","0,00","0,00","0,00","0,00","0,00","1,54","0,75","60,88","703,65","9,88","44,25","0,00","0,00","0,00","6.417,70","6.417,70","90,12","7.121,35","1,23","447,88"
"2000","170084","Anglès","Selva","4.785","0,00","140,20","0,00","76,46","63,40","13,85","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,23","0,00","294,14","13,37","61,47","0,00","0,00","0,00","1.905,75","1.905,75","86,63","2.199,89","1,26","459,75"
"2000","250273","Anglesola","Urgell","1.211","0,00","0,00","0,00","10,36","14,40","3,66","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,06","0,00","28,48","6,10","23,52","0,00","0,00","0,00","438,11","438,11","93,90","466,60","1,06","385,30"
"2000","250292","Arbeca","Garrigues","2.313","0,00","0,00","0,04","22,89","27,23","6,11","4,19","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,11","0,50","61,07","6,76","26,40","0,00","0,00","0,00","842,50","842,50","93,24","903,57","1,07","390,65"
"2000","430167","Arboç, l'","Baix Penedès","3.362","0,00","0,00","0,00","30,15","31,60","3,86","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,37","0,16","0,00","66,14","1,92","19,67","0,00","0,00","0,00","3.377,06","3.377,06","98,08","3.443,19","2,81","1.024,15"
"2000","430154","Arbolí","Baix Camp","131","0,00","0,00","0,00","1,43","1,58","0,71","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,00","3,73","8,97","28,44","0,00","0,00","0,00","37,83","37,83","91,03","41,56","0,87","317,22"
"2000","170097","Arbúcies","Selva","4.317","0,00","107,00","0,00","64,26","106,80","18,41","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,13","0,20","0,00","296,80","12,22","68,75","0,00","0,00","0,00","2.132,62","2.132,62","87,78","2.429,42","1,54","562,76"
