"ID","Nom","ON VA?","PROCÉS 1","PROCÉS 2","EN QUÈ ES TRANSFORMA 1","EN QUÈ ES TRANSFORMA 2","CONSELL DE PREVENCIÓ"
"R060","Iogurt  de plàstic","Envàs lleuger (groc)","Planta de triatge d'envasos","Planta de reciclatge","Bosses de plàstic","-","-"
"R061","Iogurt de vidre","Vidre (verd)","Planta de triatge: Vidre","Planta de reciclatge","Vidre reciclat","-","Reutilitza els pots"
"R062","Joguines","Deixalleria / Punt Verd ","Empresa especialitzada","Planta de reciclatge","Plàstic","-","Abans de llençar-les pensa si algú les pot aprofitar"
"R063","Llapis","Fracció resta (gris)","Planta de triatge: Resta","Incineradora","Electricitat","-","-"
"R064","Llaunes fèrriques","Envàs lleuger (groc)","Planta de triatge d'envasos","Planta de reciclatge","Metalls","-","-"
"R065","Llima d’ungles","Fracció resta (gris)","Planta de triatge: Resta","Incineradora","Electricitat","-","-"
"R066","Llumins de fusta","Fracció orgànica (marró)","Planta de digestió anaeròbia","Planta de compostatge","Compost","Electricitat","Si tens un jardí, un hort o un pati gran amb plantes, pots fer el teu compost casolà"
"Triatge roba","C2_triatge_roba",,,,,,
"R067","Mànega","Deixalleria / Punt Verd ","Empresa especialitzada","-","Plàstic","-","-"
"R068","Maquineta d’afaitar","Fracció resta (gris)","Planta de triatge: Resta","Incineradora","Electricitat","-","-"
"R069","Maquineta fer punta","Fracció resta (gris)","Planta de triatge: Resta","Incineradora","Electricitat","-","-"
"R070","Matalàs","Deixalleria / Punt Verd ","Empresa especialitzada","Planta de reciclatge","Metall reciclat","Filtres industrials","-"
"R071","Medicaments","Medicaments ","Empresa especialitzada","-","Paper reciclat","Medicament processat","Els medicament caducats o fora d’ús no es poden llençar mai per l’aigüera ni al vàter, ja que contenen principis actius que poden causar un greu risc per a la salut de les persones i del medi ambient"
"R072","Mirall","Deixalleria / Punt Verd ","Empresa especialitzada","Planta de reciclatge","Plàstic","Vidre pla","-"
"R073","Mitges","Contenidor  Roba ","Triatge de roba","-","Roba","-","Evita llençar la roba directament a les escombraries. Si el material està fet malbé, és millor portar-lo a un Punt Verd o a una deixalleria. Si la roba o els complements es troben en bon estat, dipositem-los a un contenidor específic de roba, o donar-ho a persones que en puguin fer un nou ús."
"R074","Mòbil i accessoris","Deixalleria / Punt Verd ","Empresa especialitzada","Planta de reciclatge","Carcasses","-","Abans de llençar-lo pensa si encara es pot reparar o algú el pot utilitzar."
"R075","Moble de fusta","Deixalleria / Punt Verd ","Empresa especialitzada","-","Conglomerat","Combustible","La fusta que portem a la deixalleria és un 99% valoritzable."
"R076","Nevera","Deixalleria / Punt Verd ","Empresa especialitzada","Planta de reciclatge","Plàstic","Ferro","Abans de llençar un electrodomèstic pensa si pots reparar-lo."
"R077","Oli de cotxe","Deixalleria / Punt Verd ","Empresa especialitzada","Planta de reciclatge","Oli motor","Plàstic","És millor retirar l’oli en llocs especialitzats per evitar problemes de contaminació."
"R078","Oli de cuina ","Deixalleria / Punt Verd ","Empresa especialitzada","Planta de reciclatge","Biodièsel","-","Evitar llençar-lo a l’aigüera o pel vàter. A casa nostra hi ha una forta tradició de fer sabó natural amb l’oli de cuina fora d’ús."
"R079","Ordinador","Deixalleria / Punt Verd ","Empresa especialitzada","Planta de reciclatge","Carcasses","-","Abans de llençar-lo pensa si pots reparar-lo o ampliar les seves prestacions tot incorporant-hi nous complements."
"R080","Paella","Deixalleria / Punt Verd ","Empresa especialitzada","Planta de reciclatge","Alumini reciclat","-","-"
"R081","Pal d'escombra","Fracció resta (gris)","Planta de triatge: Resta","Incineradora","Electricitat","-","-"
"R082","Pal de fregar","Fracció resta (gris)","Planta de triatge: Resta","-","Monodipòsit","-","-"
"R083","Palleta","Fracció resta (gris)","Planta de triatge: Resta","Incineradora","Electricitat","-","-"
"R084","Paper magdalenes","Fracció orgànica (marró)","Planta de digestió anaeròbia","Planta de compostatge","Compost","Electricitat","Si tens un jardí, un hort o un pati gran amb plantes, pots fer el teu compost casolà."
"R085","Paper plastificat","Fracció resta (gris)","Planta de triatge: Resta","Incineradora","Electricitat","-","-"
"R086","Penjador de plàstic","Deixalleria / Punt Verd ","Empresa especialitzada","Planta de reciclatge","Caixes de plàstic","-","-"
"R087","Petits aparells elèctrics i electrònics","Deixalleria / Punt Verd ","Empresa especialitzada","Planta de reciclatge","Plàstic","Ferro","Abans de llençar un electrodomèstic pensa si pots reparar-lo."
"R088","Piles","Contenidors Piles","Empresa especialitzada","-","Piles reciclades","-","Utilitzeu piles recarregables"
"R089","Pintura","Deixalleria / Punt Verd ","Empresa especialitzada","Planta de reciclatge","Alumini reciclat","-","Eviteu que aquests residus arribin al medi contaminant aigües i sòls. Opta sempre que puguis per pintures ecològiques, amb base aquosa, ja que són molt menys contaminants quan esdevenen residu."
"R090","Pinyols","Fracció orgànica (marró)","Planta de digestió anaeròbia","Planta de compostatge","Compost","Electricitat","Si tens un jardí, un hort o un pati gran amb plantes, pots fer el teu compost casolà."
"R091","Pinzell brut","Deixalleria / Punt Verd ","Empresa especialitzada","Planta de reciclatge","Plàstic","Electricitat","Eviteu que aquest residus arribin al medi contaminant aigües i sòls."
"R092","Plats trencats","Deixalleria / Punt Verd ","Empresa especialitzada","-","Monodipòsit","-","Abans de llençar-los pensa si algú els pot aprofitar."
"R093","Pneumàtic","Deixalleria / Punt Verd ","Empresa especialitzada","Planta de reciclatge","Pneumàtic","Metall","El canvi dels pneumàtics en tallers especialitzats garanteix una bona gestió ambiental d’aquests residus"
"R094","Pols d’escombrar","Fracció resta (gris)","Planta de triatge: Resta","Incineradora","Electricitat","-","-"
"R095","Porró vidre","Deixalleria / Punt Verd ","Empresa especialitzada","-","Vidre reciclat","-","-"
"R096","Pot de vidre","Vidre (verd)","Planta de triatge: Vidre","Planta de reciclatge","Vidre reciclat","-","-"
"R097","Precinte adhesiu","Fracció resta (gris)","Planta de triatge: Resta","Incineradora","Electricitat","-","-"
"R098","Precinte ampolles vi i cava","Envàs lleuger (groc)","Planta de triatge d'envasos","Planta de reciclatge","Safata Alumini","-","-"
"R099","Preservatiu","Fracció resta (gris)","Planta de triatge: Resta","Incineradora","Electricitat","-","-"
"R100","Puntes de cigarret","Fracció resta (gris)","Planta de triatge: Resta","Incineradora","Electricitat","-","-"
"R101","Radiografia","Deixalleria / Punt Verd ","Empresa especialitzada","Planta de reciclatge","Plata ","-","-"
"R102","Raspall de dents","Fracció resta (gris)","Planta de triatge: Resta","Incineradora","Electricitat","-","-"
"R103","Rentadora","Deixalleria / Punt Verd ","Empresa especialitzada","Planta de reciclatge","Plàstic","Ferro","Abans de llençar un electrodomèstic pensa si pots reparar-lo."
"R104","Restes de menjar","Fracció orgànica (marró)","Planta de digestió anaeròbia","Planta de compostatge","Compost","Electricitat","Si tens un jardí, un hort o un pati gran amb plantes, pots fer el teu compost casolà."
"R105","Revista","Paper i cartró (blau)","Planta de triatge de paper i cartró","Planta de reciclatge","Paper reciclat","-","Reaprofita el paper de les revistes per a embolcalls, per a protegir el paviment, etc."
"R106","Roba","Contenidor  Roba ","Triatge de roba","-","Roba","-","Evita llençar la roba directament a les escombraries. Si el material està fet malbé, és millor portar-lo a un Punt Verd o a una deixalleria. Si la roba o els complements es troben en bon estat, dipositem-los a un contenidor específic de roba, o donar-ho a persones que en puguin fer un nou ús."
"R107","Rodet de fotografies","Deixalleria / Punt Verd ","Empresa especialitzada","-","Carcasses","-","-"
"R108","Runa (obra menor)","Deixalleria / Punt Verd ","Empresa especialitzada","-","Monodipòsit","-","Evita abocaments incontrolats"
"R109","Aliment malmès en safata","Fracció orgànica (marró)","Planta de digestió anaeròbia","Planta de compostatge","Compost","Electricitat","-"
"R110","Safates de porexpan","Envàs lleuger (groc)","Planta de triatge d'envasos","Planta de reciclatge","Porexpan","-","Compra a granel. Procura comprar aliments que no estiguin sobre-envasats"
"R111","Sobre de paper","Paper i cartró (blau)","Planta de triatge de paper i cartró","Planta de reciclatge","Paper reciclat","-","-"
"R112","Sorra de gat","Fracció resta (gris)","Planta de triatge: Resta","-","Monodipòsit","-","-"
"R113","Tapes de pot","Envàs lleuger (groc)","Planta de triatge d'envasos","Planta de reciclatge","Metalls","-","-"
"R114","Taps de plàstic","Envàs lleuger (groc)","Planta de triatge d'envasos","Planta de reciclatge","Cubells de plàstic","-","-"
"R115","Taps de suro","Fracció orgànica (marró)","Planta de digestió anaeròbia","Planta de compostatge","Compost","Electricitat","Si tens un jardí, un hort o un pati gran amb plantes, pots fer el teu compost casolà"
"R116","Taps metàl·lics","Envàs lleuger (groc)","Planta de triatge d'envasos","Planta de reciclatge","Metalls","-","-"
"R117","Televisió","Deixalleria / Punt Verd ","Empresa especialitzada","Planta de reciclatge","Carcasses","-","Abans de llençar un electrodomèstic pensa si pots reparar-lo."
"R118","Termòmetre de mercuri","Deixalleria / Punt Verd ","Empresa especialitzada","Planta de reciclatge","Mercuri reciclat","-","No comprar termòmetres que continguin mercuri (des d’abril de 2009 s’ha prohibit la venda d’instruments de medició que portin mercuri per la seva perillositat vers la salut i el medi)."
"Energia Elèctrica","C4_electricitat",,,,,,
"Compostatge / Adob: Planteta / Camps conreu","C4_compost",,,,,,
"R119","Terra plantes","Fracció orgànica (marró)","Planta de digestió anaeròbia","Planta de compostatge","Compost","Electricitat","Els tòners són residus especials que requereixen un tractament específic per no malmetre el medi ambient. Per tant, cal que els recollim de manera separada  portant-los a la deixalleria o dipositant-los als contenidors específics dels punts de venda."
"R120","Test ceràmica","Deixalleria / Punt Verd ","Empresa especialitzada","-","Monodipòsit","-","-"
"R121","Test de plàstic","Deixalleria / Punt Verd ","Planta de reciclatge","-","Plàstic","-","-"
"R122","Tòner","Deixalleria / Punt Verd ","Empresa especialitzada","-","Toners","-","-"
"R123","Tovalló paper brut","Fracció orgànica (marró)","Planta de digestió anaeròbia","Planta de compostatge","Compost","Electricitat","-"
"R124","Tub de dentifrici","Envàs lleuger (groc)","Planta de triatge d'envasos","Planta de reciclatge","Cubells de plàstic","-","-"
"R125","Tub de PVC","Deixalleria / Punt Verd ","Empresa especialitzada","-","PVC","-","-"
"C3",,,,,,,
"Digestors + Biogas","C3_digestor",,,,,,
"R126","Ulleres","Fracció resta (gris)","Planta de triatge: Resta","Incineradora","Electricitat","-","Abans de llençar les ulleres que ja no utilitzes, pensa si es poden reutilitzar. Existeixen ONG i algunes òptiques encarregades de realitzar campanyes de recollida i gestió."
