municipi;col;r;c;value;status
Oliola;Altitud (m);494;3;452;
Oliola;Superfície (km²);494;4;86,28;
Oliola;Població;494;5;192;
Olius;Comarca;495;1;Solsonès;
Olius;Codi;495;2;251517;
Olius;Altitud (m);495;3;742;
Olius;Superfície (km²);495;4;54,84;
Olius;Població;495;5;989;
Olivella;Comarca;496;1;Garraf;
Olivella;Codi;496;2;81483;
Olivella;Altitud (m);496;3;211;
Olivella;Superfície (km²);496;4;38,75;
Olivella;Població;496;5;4473;
Olost;Comarca;497;1;Lluçanès;
Olost;Codi;497;2;81496;
Olost;Altitud (m);497;3;572;
Olost;Superfície (km²);497;4;29,37;
Olost;Població;497;5;1204;
Olot;Comarca;498;1;Garrotxa;
Olot;Codi;498;2;171143;
Olot;Altitud (m);498;3;443;
Olot;Superfície (km²);498;4;29,03;
Olot;Població;498;5;39516;
Oluges, les;Comarca;499;1;Segarra;
Oluges, les;Codi;499;2;251522;
Oluges, les;Altitud (m);499;3;528;
Oluges, les;Superfície (km²);499;4;18,95;
Oluges, les;Població;499;5;167;
Olvan;Comarca;500;1;Berguedà;
Olvan;Codi;500;2;81445;
Olvan;Altitud (m);500;3;553;
Olvan;Superfície (km²);500;4;35,58;
Olvan;Població;500;5;926;
Omellons, els;Comarca;501;1;Garrigues;
Omellons, els;Codi;501;2;251538;
Omellons, els;Altitud (m);501;3;385;
Omellons, els;Superfície (km²);501;4;11,06;
Omellons, els;Població;501;5;187;
Omells de na Gaia, els;Comarca;502;1;Urgell;
Omells de na Gaia, els;Codi;502;2;251543;
Omells de na Gaia, els;Altitud (m);502;3;560;
Omells de na Gaia, els;Superfície (km²);502;4;13,48;
Omells de na Gaia, els;Població;502;5;126;
Ordis;Comarca;503;1;Alt Empordà;
Ordis;Codi;503;2;171156;
Ordis;Altitud (m);503;3;98;
Ordis;Superfície (km²);503;4;8,55;
Ordis;Població;503;5;411;
Organyà;Comarca;504;1;Alt Urgell;
Organyà;Codi;504;2;251556;
Organyà;Altitud (m);504;3;558;
Organyà;Superfície (km²);504;4;12,53;
Organyà;Població;504;5;851;
Orís;Comarca;505;1;Osona;
Orís;Codi;505;2;81509;
Orís;Altitud (m);505;3;576;
Orís;Superfície (km²);505;4;27,17;
Orís;Població;505;5;352;
Oristà;Comarca;506;1;Lluçanès;
Oristà;Codi;506;2;81516;
Oristà;Altitud (m);506;3;468;
Oristà;Superfície (km²);506;4;68,49;
Oristà;Població;506;5;556;
Orpí;Comarca;507;1;Anoia;
Orpí;Codi;507;2;81521;
Orpí;Altitud (m);507;3;375;
Orpí;Superfície (km²);507;4;15,23;
Orpí;Població;507;5;176;
Òrrius;Comarca;508;1;Maresme;
Òrrius;Codi;508;2;81537;
Òrrius;Altitud (m);508;3;259;
Òrrius;Superfície (km²);508;4;5,66;
Òrrius;Població;508;5;814;
Os de Balaguer;Comarca;509;1;Noguera;
Os de Balaguer;Codi;509;2;251569;
Os de Balaguer;Altitud (m);509;3;463;
Os de Balaguer;Superfície (km²);509;4;135,96;
Os de Balaguer;Població;509;5;1094;
Osor;Comarca;510;1;Selva;
Osor;Codi;510;2;171169;
Osor;Altitud (m);510;3;340;
Osor;Superfície (km²);510;4;52,07;
Osor;Població;510;5;429;
Ossó de Sió;Comarca;511;1;Urgell;
Ossó de Sió;Codi;511;2;251575;
Ossó de Sió;Altitud (m);511;3;391;
Ossó de Sió;Superfície (km²);511;4;26,29;
Ossó de Sió;Població;511;5;200;
Pacs del Penedès;Comarca;512;1;Alt Penedès;
Pacs del Penedès;Codi;512;2;81542;
Pacs del Penedès;Altitud (m);512;3;201;
Pacs del Penedès;Superfície (km²);512;4;6,27;
Pacs del Penedès;Població;512;5;934;
Palafolls;Comarca;513;1;Maresme;
Palafolls;Codi;513;2;81555;
Palafolls;Altitud (m);513;3;16;
Palafolls;Superfície (km²);513;4;16,56;
Palafolls;Població;513;5;10026;
Palafrugell;Comarca;514;1;Baix Empordà;
Palafrugell;Codi;514;2;171175;
Palafrugell;Altitud (m);514;3;64;
Palafrugell;Superfície (km²);514;4;26,88;
Palafrugell;Població;514;5;24556;
Palamós;Comarca;515;1;Baix Empordà;
Palamós;Codi;515;2;171181;
Palamós;Altitud (m);515;3;12;
Palamós;Superfície (km²);515;4;13,98;
Palamós;Població;515;5;18921;
Palau d'Anglesola, el;Comarca;516;1;Pla d'Urgell;
Palau d'Anglesola, el;Codi;516;2;251581;
Palau d'Anglesola, el;Altitud (m);516;3;250;
Palau d'Anglesola, el;Superfície (km²);516;4;12,27;
Palau d'Anglesola, el;Població;516;5;2225;
Palau de Santa Eulàlia;Comarca;517;1;Alt Empordà;
Palau de Santa Eulàlia;Codi;517;2;171194;
Palau de Santa Eulàlia;Altitud (m);517;3;86;
Palau de Santa Eulàlia;Superfície (km²);517;4;8,44;
Palau de Santa Eulàlia;Població;517;5;124;
Palau-sator;Comarca;518;1;Baix Empordà;
Palau-sator;Codi;518;2;171215;
Palau-sator;Altitud (m);518;3;20;
Palau-sator;Superfície (km²);518;4;12,39;
Palau-sator;Població;518;5;320;
Palau-saverdera;Comarca;519;1;Alt Empordà;
Palau-saverdera;Codi;519;2;171208;
Palau-saverdera;Altitud (m);519;3;78;
Palau-saverdera;Superfície (km²);519;4;16,45;
Palau-saverdera;Població;519;5;1524;
Palau-solità i Plegamans;Comarca;520;1;Vallès Occidental;
Palau-solità i Plegamans;Codi;520;2;81568;
Palau-solità i Plegamans;Altitud (m);520;3;130;
Palau-solità i Plegamans;Superfície (km²);520;4;14,93;
Palau-solità i Plegamans;Població;520;5;15584;
Pallaresos, els;Comarca;521;1;Tarragonès;
Pallaresos, els;Codi;521;2;431009;
Pallaresos, els;Altitud (m);521;3;120;
Pallaresos, els;Superfície (km²);521;4;5,13;
Pallaresos, els;Població;521;5;5043;
Pallejà;Comarca;522;1;Baix Llobregat;
Pallejà;Codi;522;2;81574;
Pallejà;Altitud (m);522;3;41;
Pallejà;Superfície (km²);522;4;8,3;
Pallejà;Població;522;5;11976;
Palma d'Ebre, la;Comarca;523;1;Ribera d'Ebre;
Palma d'Ebre, la;Codi;523;2;430995;
Palma d'Ebre, la;Altitud (m);523;3;335;
Palma d'Ebre, la;Superfície (km²);523;4;37,92;
Palma d'Ebre, la;Població;523;5;331;
Palma de Cervelló, la;Comarca;524;1;Baix Llobregat;
Palma de Cervelló, la;Codi;524;2;89058;
Palma de Cervelló, la;Altitud (m);524;3;100;
Palma de Cervelló, la;Superfície (km²);524;4;5,46;
Palma de Cervelló, la;Població;524;5;3059;
Palol de Revardit;Comarca;525;1;Pla de l'Estany;
Palol de Revardit;Codi;525;2;171236;
Palol de Revardit;Altitud (m);525;3;152;
Palol de Revardit;Superfície (km²);525;4;17,98;
Palol de Revardit;Població;525;5;463;
Pals;Comarca;526;1;Baix Empordà;
Pals;Codi;526;2;171241;
Pals;Altitud (m);526;3;55;
Pals;Superfície (km²);526;4;25,83;
Pals;Població;526;5;2552;
Papiol, el;Comarca;527;1;Baix Llobregat;
Papiol, el;Codi;527;2;81580;
Papiol, el;Altitud (m);527;3;135;
Papiol, el;Superfície (km²);527;4;8,95;
Papiol, el;Població;527;5;4404;
Pardines;Comarca;528;1;Ripollès;
Pardines;Codi;528;2;171254;
Pardines;Altitud (m);528;3;1226;
Pardines;Superfície (km²);528;4;31,05;
Pardines;Població;528;5;168;
Parets del Vallès;Comarca;529;1;Vallès Oriental;
Parets del Vallès;Codi;529;2;81593;
Parets del Vallès;Altitud (m);529;3;98;
Parets del Vallès;Superfície (km²);529;4;9,12;
Parets del Vallès;Població;529;5;18899;
Parlavà;Comarca;530;1;Baix Empordà;
Parlavà;Codi;530;2;171267;
Parlavà;Altitud (m);530;3;40;
Parlavà;Superfície (km²);530;4;6,18;
Parlavà;Població;530;5;435;
Passanant i Belltall;Comarca;531;1;Conca de Barberà;
Passanant i Belltall;Codi;531;2;431016;
Passanant i Belltall;Altitud (m);531;3;714;
Passanant i Belltall;Superfície (km²);531;4;27,35;
Passanant i Belltall;Població;531;5;149;
Pau;Comarca;532;1;Alt Empordà;
Pau;Codi;532;2;171289;
Pau;Altitud (m);532;3;33;
Pau;Superfície (km²);532;4;10,7;
Pau;Població;532;5;558;
Paüls;Comarca;533;1;Baix Ebre;
Paüls;Codi;533;2;431021;
Paüls;Altitud (m);533;3;378;
Paüls;Superfície (km²);533;4;43,83;
Paüls;Població;533;5;554;
Pedret i Marzà;Comarca;534;1;Alt Empordà;
Pedret i Marzà;Codi;534;2;171292;
Pedret i Marzà;Altitud (m);534;3;22;
Pedret i Marzà;Superfície (km²);534;4;8,65;
Pedret i Marzà;Població;534;5;208;
Penelles;Comarca;535;1;Noguera;
Penelles;Codi;535;2;251641;
Penelles;Altitud (m);535;3;276;
Penelles;Superfície (km²);535;4;25,51;
Penelles;Població;535;5;431;
Pera, la;Comarca;536;1;Baix Empordà;
Pera, la;Codi;536;2;171306;
Pera, la;Altitud (m);536;3;93;
Pera, la;Superfície (km²);536;4;11,54;
Pera, la;Població;536;5;449;
Perafita;Comarca;537;1;Lluçanès;
Perafita;Codi;537;2;81607;
Perafita;Altitud (m);537;3;754;
Perafita;Superfície (km²);537;4;19,59;
Perafita;Població;537;5;433;
Perafort;Comarca;538;1;Tarragonès;
Perafort;Codi;538;2;431037;
Perafort;Altitud (m);538;3;125;
Perafort;Superfície (km²);538;4;9,54;
Perafort;Població;538;5;1353;
Peralada;Comarca;539;1;Alt Empordà;
Peralada;Codi;539;2;171328;
Peralada;Altitud (m);539;3;32;
Peralada;Superfície (km²);539;4;43,61;
Peralada;Població;539;5;2087;
Peramola;Comarca;540;1;Alt Urgell;
Peramola;Codi;540;2;251654;
Peramola;Altitud (m);540;3;566;
Peramola;Superfície (km²);540;4;56,17;
Peramola;Població;540;5;339;
Perelló, el;Comarca;541;1;Baix Ebre;
Perelló, el;Codi;541;2;431042;
Perelló, el;Altitud (m);541;3;142;
Perelló, el;Superfície (km²);541;4;100,67;
Perelló, el;Població;541;5;3005;
Piera;Comarca;542;1;Anoia;
Piera;Codi;542;2;81614;
Piera;Altitud (m);542;3;324;
Piera;Superfície (km²);542;4;57,2;
Piera;Població;542;5;17884;
Piles, les;Comarca;543;1;Conca de Barberà;
Piles, les;Codi;543;2;431055;
Piles, les;Altitud (m);543;3;676;
Piles, les;Superfície (km²);543;4;22,39;
Piles, les;Població;543;5;228;
Pineda de Mar;Comarca;544;1;Maresme;
Pineda de Mar;Codi;544;2;81635;
Pineda de Mar;Altitud (m);544;3;10;
Pineda de Mar;Superfície (km²);544;4;10,74;
Pineda de Mar;Població;544;5;30071;
Pinell de Brai, el;Comarca;545;1;Terra Alta;
Pinell de Brai, el;Codi;545;2;431068;
Pinell de Brai, el;Altitud (m);545;3;189;
Pinell de Brai, el;Superfície (km²);545;4;56,99;
Pinell de Brai, el;Població;545;5;948;
Pinell de Solsonès;Comarca;546;1;Solsonès;
Pinell de Solsonès;Codi;546;2;251667;
Pinell de Solsonès;Altitud (m);546;3;800;
Pinell de Solsonès;Superfície (km²);546;4;91,11;
Pinell de Solsonès;Població;546;5;198;
Pinós;Comarca;547;1;Solsonès;
Pinós;Codi;547;2;251673;
Pinós;Altitud (m);547;3;823;
Pinós;Superfície (km²);547;4;104,32;
Pinós;Població;547;5;274;
Pira;Comarca;548;1;Conca de Barberà;
Pira;Codi;548;2;431074;
Pira;Altitud (m);548;3;385;
Pira;Superfície (km²);548;4;8,01;
Pira;Població;548;5;512;
Pla de Santa Maria, el;Comarca;549;1;Alt Camp;
Pla de Santa Maria, el;Codi;549;2;431080;
Pla de Santa Maria, el;Altitud (m);549;3;381;
Pla de Santa Maria, el;Superfície (km²);549;4;34,99;
Pla de Santa Maria, el;Població;549;5;2412;
Pla del Penedès, el;Comarca;550;1;Alt Penedès;
Pla del Penedès, el;Codi;550;2;81640;
Pla del Penedès, el;Altitud (m);550;3;216;
Pla del Penedès, el;Superfície (km²);550;4;9,56;
Pla del Penedès, el;Població;550;5;1392;
Planes d'Hostoles, les;Comarca;551;1;Garrotxa;
Planes d'Hostoles, les;Codi;551;2;171334;
Planes d'Hostoles, les;Altitud (m);551;3;370;
Planes d'Hostoles, les;Superfície (km²);551;4;37,5;
Planes d'Hostoles, les;Població;551;5;1747;
Planoles;Comarca;552;1;Ripollès;
Planoles;Codi;552;2;171349;
Planoles;Altitud (m);552;3;1136;
Planoles;Superfície (km²);552;4;18,75;
Planoles;Població;552;5;313;
Plans de Sió, els;Comarca;553;1;Segarra;
Plans de Sió, els;Codi;553;2;259118;
Plans de Sió, els;Altitud (m);553;3;412;
Plans de Sió, els;Superfície (km²);553;4;55,89;
Plans de Sió, els;Població;553;5;512;
Poal, el;Comarca;554;1;Pla d'Urgell;
Poal, el;Codi;554;2;251689;
Poal, el;Altitud (m);554;3;216;
Poal, el;Superfície (km²);554;4;8,88;
Poal, el;Població;554;5;648;
Pobla de Cérvoles, la;Comarca;555;1;Garrigues;
Pobla de Cérvoles, la;Codi;555;2;251692;
Pobla de Cérvoles, la;Altitud (m);555;3;663;
Pobla de Cérvoles, la;Superfície (km²);555;4;61,92;
Pobla de Cérvoles, la;Població;555;5;208;
Pobla de Claramunt, la;Comarca;556;1;Anoia;
Pobla de Claramunt, la;Codi;556;2;81653;
Pobla de Claramunt, la;Altitud (m);556;3;265;
Pobla de Claramunt, la;Superfície (km²);556;4;18,54;
Pobla de Claramunt, la;Població;556;5;2350;
Pobla de Lillet, la;Comarca;557;1;Berguedà;
Pobla de Lillet, la;Codi;557;2;81666;
Pobla de Lillet, la;Altitud (m);557;3;843;
Pobla de Lillet, la;Superfície (km²);557;4;51,45;
Pobla de Lillet, la;Població;557;5;1106;
Pobla de Mafumet, la;Comarca;558;1;Tarragonès;
Pobla de Mafumet, la;Codi;558;2;431093;
Pobla de Mafumet, la;Altitud (m);558;3;98;
Pobla de Mafumet, la;Superfície (km²);558;4;6,21;
Pobla de Mafumet, la;Població;558;5;4187;
Pobla de Massaluca, la;Comarca;559;1;Terra Alta;
Pobla de Massaluca, la;Codi;559;2;431107;
Pobla de Massaluca, la;Altitud (m);559;3;357;
Pobla de Massaluca, la;Superfície (km²);559;4;43,4;
Pobla de Massaluca, la;Població;559;5;344;
Pobla de Montornès, la;Comarca;560;1;Tarragonès;
Pobla de Montornès, la;Codi;560;2;431114;
Pobla de Montornès, la;Altitud (m);560;3;56;
Pobla de Montornès, la;Superfície (km²);560;4;12,29;
Pobla de Montornès, la;Població;560;5;3470;
Pobla de Segur, la;Comarca;561;1;Pallars Jussà;
Pobla de Segur, la;Codi;561;2;251713;
Pobla de Segur, la;Altitud (m);561;3;524;
Pobla de Segur, la;Superfície (km²);561;4;32,83;
Pobla de Segur, la;Població;561;5;3179;
Poboleda;Comarca;562;1;Priorat;
Poboleda;Codi;562;2;431129;
Poboleda;Altitud (m);562;3;343;
Poboleda;Superfície (km²);562;4;13,95;
Poboleda;Població;562;5;345;
Polinyà;Comarca;563;1;Vallès Occidental;
Polinyà;Codi;563;2;81672;
Polinyà;Altitud (m);563;3;123;
Polinyà;Superfície (km²);563;4;8,79;
Polinyà;Població;563;5;8572;
Pont d'Armentera, el;Comarca;564;1;Alt Camp;
Pont d'Armentera, el;Codi;564;2;431135;
Pont d'Armentera, el;Altitud (m);564;3;349;
Pont d'Armentera, el;Superfície (km²);564;4;21,67;
Pont d'Armentera, el;Població;564;5;507;
Pont de Bar, el;Comarca;565;1;Alt Urgell;
Pont de Bar, el;Codi;565;2;250306;
Pont de Bar, el;Altitud (m);565;3;861;
Pont de Bar, el;Superfície (km²);565;4;42,62;
Pont de Bar, el;Població;565;5;167;
Pont de Molins;Comarca;566;1;Alt Empordà;
Pont de Molins;Codi;566;2;171352;
Pont de Molins;Altitud (m);566;3;43;
Pont de Molins;Superfície (km²);566;4;8,66;
Pont de Molins;Població;566;5;586;
Pont de Suert, el;Comarca;567;1;Alta Ribagorça;
Pont de Suert, el;Codi;567;2;251734;
Pont de Suert, el;Altitud (m);567;3;838;
Pont de Suert, el;Superfície (km²);567;4;148,14;
Pont de Suert, el;Població;567;5;2425;
Pont de Vilomara i Rocafort, el;Comarca;568;1;Bages;
Pont de Vilomara i Rocafort, el;Codi;568;2;81825;
Pont de Vilomara i Rocafort, el;Altitud (m);568;3;202;
Pont de Vilomara i Rocafort, el;Superfície (km²);568;4;27,41;
Pont de Vilomara i Rocafort, el;Població;568;5;4201;
Pontils;Comarca;569;1;Conca de Barberà;
Pontils;Codi;569;2;431418;
Pontils;Altitud (m);569;3;551;
Pontils;Superfície (km²);569;4;67,56;
Pontils;Població;569;5;123;
Pontons;Comarca;570;1;Alt Penedès;
Pontons;Codi;570;2;81688;
Pontons;Altitud (m);570;3;584;
Pontons;Superfície (km²);570;4;25,94;
Pontons;Població;570;5;515;
Pontós;Comarca;571;1;Alt Empordà;
Pontós;Codi;571;2;171365;
Pontós;Altitud (m);571;3;94;
Pontós;Superfície (km²);571;4;13,66;
Pontós;Població;571;5;295;
Ponts;Comarca;572;1;Noguera;
Ponts;Codi;572;2;251728;
Ponts;Altitud (m);572;3;363;
Ponts;Superfície (km²);572;4;30,52;
Ponts;Població;572;5;2639;
Porqueres;Comarca;573;1;Pla de l'Estany;
Porqueres;Codi;573;2;171371;
Porqueres;Altitud (m);573;3;148;
Porqueres;Superfície (km²);573;4;33,52;
Porqueres;Població;573;5;4804;
Porrera;Comarca;574;1;Priorat;
Porrera;Codi;574;2;431140;
Porrera;Altitud (m);574;3;316;
Porrera;Superfície (km²);574;4;28,83;
Porrera;Població;574;5;407;
Port de la Selva, el;Comarca;575;1;Alt Empordà;
Port de la Selva, el;Codi;575;2;171404;
Port de la Selva, el;Altitud (m);575;3;12;
Port de la Selva, el;Superfície (km²);575;4;41,62;
Port de la Selva, el;Població;575;5;1055;
Portbou;Comarca;576;1;Alt Empordà;
Portbou;Codi;576;2;171387;
Portbou;Altitud (m);576;3;28;
Portbou;Superfície (km²);576;4;9,22;
Portbou;Població;576;5;1132;
Portella, la;Comarca;577;1;Segrià;
Portella, la;Codi;577;2;251749;
Portella, la;Altitud (m);577;3;259;
Portella, la;Superfície (km²);577;4;12,31;
Portella, la;Població;577;5;730;
Pradell de la Teixeta;Comarca;578;1;Priorat;
Pradell de la Teixeta;Codi;578;2;431153;
Pradell de la Teixeta;Altitud (m);578;3;463;
Pradell de la Teixeta;Superfície (km²);578;4;21,83;
Pradell de la Teixeta;Població;578;5;182;
Prades;Comarca;579;1;Baix Camp;
Prades;Codi;579;2;431166;
Prades;Altitud (m);579;3;950;
Prades;Superfície (km²);579;4;32,58;
Prades;Població;579;5;644;
Prat de Comte;Comarca;580;1;Terra Alta;
Prat de Comte;Codi;580;2;431172;
Prat de Comte;Altitud (m);580;3;363;
Prat de Comte;Superfície (km²);580;4;26,43;
Prat de Comte;Població;580;5;180;
Prat de Llobregat, el;Comarca;581;1;Baix Llobregat;
Prat de Llobregat, el;Codi;581;2;81691;
Prat de Llobregat, el;Altitud (m);581;3;8;
Prat de Llobregat, el;Superfície (km²);581;4;31,41;
Prat de Llobregat, el;Població;581;5;66251;
Pratdip;Comarca;582;1;Baix Camp;
Pratdip;Codi;582;2;431188;
Pratdip;Altitud (m);582;3;245;
Pratdip;Superfície (km²);582;4;36,27;
Pratdip;Població;582;5;784;
Prats de Lluçanès;Comarca;583;1;Lluçanès;
Prats de Lluçanès;Codi;583;2;81712;
Prats de Lluçanès;Altitud (m);583;3;707;
Prats de Lluçanès;Superfície (km²);583;4;13,78;
Prats de Lluçanès;Població;583;5;2759;
Prats de Rei, els;Comarca;584;1;Anoia;
Prats de Rei, els;Codi;584;2;81705;
Prats de Rei, els;Altitud (m);584;3;608;
Prats de Rei, els;Superfície (km²);584;4;26,06;
Prats de Rei, els;Població;584;5;553;
Prats i Sansor;Comarca;585;1;Cerdanya;
Prats i Sansor;Codi;585;2;251752;
Prats i Sansor;Altitud (m);585;3;1124;
Prats i Sansor;Superfície (km²);585;4;6,57;
Prats i Sansor;Població;585;5;252;
Preixana;Comarca;586;1;Urgell;
Preixana;Codi;586;2;251765;
Preixana;Altitud (m);586;3;328;
Preixana;Superfície (km²);586;4;21,52;
Preixana;Població;586;5;400;
Preixens;Comarca;587;1;Noguera;
Preixens;Codi;587;2;251771;
Preixens;Altitud (m);587;3;315;
Preixens;Superfície (km²);587;4;28,67;
Preixens;Població;587;5;399;
Premià de Dalt;Comarca;588;1;Maresme;
Premià de Dalt;Codi;588;2;82303;
Premià de Dalt;Altitud (m);588;3;142;
Premià de Dalt;Superfície (km²);588;4;6,57;
Premià de Dalt;Població;588;5;10601;
Premià de Mar;Comarca;589;1;Maresme;
Premià de Mar;Codi;589;2;81727;
Premià de Mar;Altitud (m);589;3;8;
Premià de Mar;Superfície (km²);589;4;2,11;
Premià de Mar;Població;589;5;29348;
Preses, les;Comarca;590;1;Garrotxa;
Preses, les;Codi;590;2;171390;
Preses, les;Altitud (m);590;3;474;
Preses, les;Superfície (km²);590;4;9,39;
Preses, les;Població;590;5;1946;
Prullans;Comarca;591;1;Cerdanya;
Prullans;Codi;591;2;251790;
Prullans;Altitud (m);591;3;1096;
Prullans;Superfície (km²);591;4;21,21;
Prullans;Població;591;5;270;
Puigcerdà;Comarca;592;1;Cerdanya;
Puigcerdà;Codi;592;2;171411;
Puigcerdà;Altitud (m);592;3;1202;
Puigcerdà;Superfície (km²);592;4;18,92;
Puigcerdà;Població;592;5;10053;
Puigdàlber;Comarca;593;1;Alt Penedès;
Puigdàlber;Codi;593;2;81748;
Puigdàlber;Altitud (m);593;3;239;
Puigdàlber;Superfície (km²);593;4;0,4;
Puigdàlber;Població;593;5;621;
Puiggròs;Comarca;594;1;Garrigues;
Puiggròs;Codi;594;2;251804;
Puiggròs;Altitud (m);594;3;334;
Puiggròs;Superfície (km²);594;4;9,9;
Puiggròs;Població;594;5;270;
Puigpelat;Comarca;595;1;Alt Camp;
Puigpelat;Codi;595;2;431191;
Puigpelat;Altitud (m);595;3;252;
Puigpelat;Superfície (km²);595;4;9,48;
Puigpelat;Població;595;5;1225;
Puig-reig;Comarca;596;1;Berguedà;
Puig-reig;Codi;596;2;81751;
Puig-reig;Altitud (m);596;3;455;
Puig-reig;Superfície (km²);596;4;45,75;
Puig-reig;Població;596;5;4558;
Puigverd d'Agramunt;Comarca;597;1;Urgell;
Puigverd d'Agramunt;Codi;597;2;251811;
Puigverd d'Agramunt;Altitud (m);597;3;366;
Puigverd d'Agramunt;Superfície (km²);597;4;17;
Puigverd d'Agramunt;Població;597;5;239;
Puigverd de Lleida;Comarca;598;1;Segrià;
Puigverd de Lleida;Codi;598;2;251826;
Puigverd de Lleida;Altitud (m);598;3;219;
Puigverd de Lleida;Superfície (km²);598;4;12,51;
Puigverd de Lleida;Població;598;5;1416;
Pujalt;Comarca;599;1;Anoia;
Pujalt;Codi;599;2;81764;
Pujalt;Altitud (m);599;3;770;
Pujalt;Superfície (km²);599;4;31,43;
Pujalt;Població;599;5;205;
Quar, la;Comarca;600;1;Berguedà;
Quar, la;Codi;600;2;81770;
Quar, la;Altitud (m);600;3;885;
Quar, la;Superfície (km²);600;4;38,25;
Quar, la;Població;600;5;44;
Quart;Comarca;601;1;Gironès;
Quart;Codi;601;2;171426;
Quart;Altitud (m);601;3;91;
Quart;Superfície (km²);601;4;38,09;
Quart;Població;601;5;4161;
Queralbs;Comarca;602;1;Ripollès;
Queralbs;Codi;602;2;170433;
Queralbs;Altitud (m);602;3;1236;
Queralbs;Superfície (km²);602;4;93,47;
Queralbs;Població;602;5;202;
Querol;Comarca;603;1;Alt Camp;
Querol;Codi;603;2;431205;
Querol;Altitud (m);603;3;565;
Querol;Superfície (km²);603;4;72,26;
Querol;Població;603;5;614;
Rabós;Comarca;604;1;Alt Empordà;
Rabós;Codi;604;2;171432;
Rabós;Altitud (m);604;3;106;
Rabós;Superfície (km²);604;4;45,1;
Rabós;Població;604;5;236;
Rajadell;Comarca;605;1;Bages;
Rajadell;Codi;605;2;81786;
Rajadell;Altitud (m);605;3;361;
Rajadell;Superfície (km²);605;4;45,53;
Rajadell;Població;605;5;598;
Ràpita, la;Comarca;606;1;Montsià;
Ràpita, la;Codi;606;2;431362;
Ràpita, la;Altitud (m);606;3;11;
Ràpita, la;Superfície (km²);606;4;53,72;
Ràpita, la;Població;606;5;16230;
Rasquera;Comarca;607;1;Ribera d'Ebre;
Rasquera;Codi;607;2;431212;
Rasquera;Altitud (m);607;3;174;
Rasquera;Superfície (km²);607;4;51,31;
Rasquera;Població;607;5;788;
Regencós;Comarca;608;1;Baix Empordà;
Regencós;Codi;608;2;171447;
Regencós;Altitud (m);608;3;78;
Regencós;Superfície (km²);608;4;6,27;
Regencós;Població;608;5;274;
Rellinars;Comarca;609;1;Vallès Occidental;
Rellinars;Codi;609;2;81799;
Rellinars;Altitud (m);609;3;322;
Rellinars;Superfície (km²);609;4;17,79;
Rellinars;Població;609;5;928;
Renau;Comarca;610;1;Tarragonès;
Renau;Codi;610;2;431227;
Renau;Altitud (m);610;3;175;
Renau;Superfície (km²);610;4;8,22;
Renau;Població;610;5;165;
Reus;Comarca;611;1;Baix Camp;
Reus;Codi;611;2;431233;
Reus;Altitud (m);611;3;117;
Reus;Superfície (km²);611;4;52,82;
Reus;Població;611;5;111911;
Rialp;Comarca;612;1;Pallars Sobirà;
Rialp;Codi;612;2;251832;
Rialp;Altitud (m);612;3;725;
Rialp;Superfície (km²);612;4;63,3;
Rialp;Població;612;5;651;
Riba, la;Comarca;613;1;Alt Camp;
Riba, la;Codi;613;2;431248;
Riba, la;Altitud (m);613;3;263;
Riba, la;Superfície (km²);613;4;7,99;
Riba, la;Població;613;5;574;
Riba-roja d'Ebre;Comarca;614;1;Ribera d'Ebre;
Riba-roja d'Ebre;Codi;614;2;431251;
Riba-roja d'Ebre;Altitud (m);614;3;76;
Riba-roja d'Ebre;Superfície (km²);614;4;99,14;
Riba-roja d'Ebre;Població;614;5;1127;
Ribera d'Ondara;Comarca;615;1;Segarra;
Ribera d'Ondara;Codi;615;2;259059;
Ribera d'Ondara;Altitud (m);615;3;570;
Ribera d'Ondara;Superfície (km²);615;4;54,47;
Ribera d'Ondara;Població;615;5;436;
Ribera d'Urgellet;Comarca;616;1;Alt Urgell;
Ribera d'Urgellet;Codi;616;2;251850;
Ribera d'Urgellet;Altitud (m);616;3;702;
Ribera d'Urgellet;Superfície (km²);616;4;106,96;
Ribera d'Urgellet;Població;616;5;982;
Ribes de Freser;Comarca;617;1;Ripollès;
Ribes de Freser;Codi;617;2;171450;
Ribes de Freser;Altitud (m);617;3;912;
Ribes de Freser;Superfície (km²);617;4;41,87;
Ribes de Freser;Població;617;5;1839;
Riells i Viabrea;Comarca;618;1;Selva;
Riells i Viabrea;Codi;618;2;171463;
Riells i Viabrea;Altitud (m);618;3;96;
Riells i Viabrea;Superfície (km²);618;4;26,98;
Riells i Viabrea;Població;618;5;4627;
Riera de Gaià, la;Comarca;619;1;Tarragonès;
Riera de Gaià, la;Codi;619;2;431264;
Riera de Gaià, la;Altitud (m);619;3;28;
Riera de Gaià, la;Superfície (km²);619;4;8,76;
Riera de Gaià, la;Població;619;5;1831;
Riner;Comarca;620;1;Solsonès;
Riner;Codi;620;2;251863;
Riner;Altitud (m);620;3;830;
Riner;Superfície (km²);620;4;47,1;
Riner;Població;620;5;270;
Ripoll;Comarca;621;1;Ripollès;
Ripoll;Codi;621;2;171479;
Ripoll;Altitud (m);621;3;691;
Ripoll;Superfície (km²);621;4;73,71;
Ripoll;Població;621;5;10812;
Ripollet;Comarca;622;1;Vallès Occidental;
Ripollet;Codi;622;2;81803;
Ripollet;Altitud (m);622;3;79;
Ripollet;Superfície (km²);622;4;4,33;
Ripollet;Població;622;5;39773;
