concepte,any,municipi,renda familiar disponible bruta,renda familiar disponible bruta,renda familiar disponible bruta
indicador,,,per habitant (índex Catalunya=100),per habitant (€),valor (milers €)
219,2001.0,Cubelles,91.7,11200.0,82717.0
220,2001.0,Cunit,103.5,12600.0,83386.0
221,2001.0,Deltebre,93.9,11500.0,120086.0
222,2001.0,"Escala, l'",114.9,14000.0,88690.0
223,2001.0,Esparreguera,86.7,10600.0,193611.0
224,2001.0,Esplugues de Llobregat,98.0,12000.0,549252.0
225,2001.0,Falset,98.1,12000.0,30568.0
226,2001.0,Figueres,104.4,12800.0,444483.0
227,2001.0,"Franqueses del Vallès, les",91.2,11100.0,147725.0
228,2001.0,Gandesa,104.2,12700.0,33909.0
229,2001.0,"Garriga, la",103.6,12700.0,153726.0
230,2001.0,Gavà,89.5,10900.0,441727.0
231,2001.0,Girona,125.0,15300.0,1166137.0
232,2001.0,Granollers,95.2,11600.0,629896.0
233,2001.0,"Hospitalet de Llobregat, l'",81.0,9900.0,2409850.0
234,2001.0,Igualada,102.4,12500.0,414783.0
235,2001.0,"Llagosta, la",76.8,9400.0,114840.0
236,2001.0,Llagostera,97.9,12000.0,71648.0
237,2001.0,Lleida,112.6,13800.0,1569304.0
238,2001.0,Llinars del Vallès,94.1,11500.0,83363.0
239,2001.0,Lliçà d'Amunt,97.9,12000.0,125857.0
240,2001.0,Lliçà de Vall,108.1,13200.0,70249.0
241,2001.0,Lloret de Mar,100.2,12200.0,275665.0
242,2001.0,Malgrat de Mar,89.3,10900.0,159215.0
243,2001.0,Manlleu,92.2,11300.0,203387.0
244,2001.0,Manresa,98.6,12000.0,779062.0
245,2001.0,Martorell,88.0,10800.0,247730.0
246,2001.0,"Masnou, el",108.3,13200.0,280107.0
247,2001.0,Masquefa,90.0,11000.0,60005.0
248,2001.0,Matadepera,182.7,22300.0,163004.0
249,2001.0,Mataró,83.5,10200.0,1104009.0
250,2001.0,Molins de Rei,102.6,12500.0,259567.0
251,2001.0,Mollerussa,110.4,13500.0,135193.0
252,2001.0,Mollet del Vallès,83.6,10200.0,488319.0
253,2001.0,Mont-roig del Camp,102.5,12500.0,90202.0
254,2001.0,Montblanc,103.3,12600.0,78096.0
255,2001.0,Montcada i Reixac,83.9,10300.0,299190.0
256,2001.0,Montgat,92.3,11300.0,96491.0
257,2001.0,Montmeló,82.8,10100.0,87417.0
