,Unnamed: 0,Data d'inici,Municipis,Àmbit Territorial,Cens 2024,Percentatge població servida amb el PaP,Fraccions recollides PaP,Horari de Recollida,habitants servits amb el PaP
166,167.0,2018-02-19,DOSRIUS,Maresme,6142.0,100.0,4 [FO+R+P/C+E],nocturn,6142.0
167,168.0,2022-10-30,MATARÓ,Maresme,131798.0,2.0,5 [FO+R+V+P/C+E],nocturn,2635.96
168,169.0,2008-12-01,CASTELLTERÇOL,Moianès,2773.0,100.0,4 [FO+R+P/C+E],diürn,2773.0
169,170.0,2009-05-29,SANTA MARIA D'OLÓ,Moianès,1077.0,100.0,4 [FO+R+P/C+E],nocturn,1077.0
170,171.0,2014-06-30,COLLSUSPINA,Moianès,389.0,100.0,3 [FO+MP+R],diürn,389.0
171,172.0,2018-10-08,SANT QUIRZE SAFAJA,Moianès,669.0,100.0,5 [FO+R+V+P/C+E],nocturn,669.0
172,173.0,2019-03-07,CALDERS,Moianès,1114.0,100.0,4 [FO+R+P/C+E],nocturn,1114.0
173,174.0,2019-10-15,L'ESTANY,Moianès,401.0,100.0,4 [FO+R+P/C+E],nocturn,401.0
174,175.0,2021-05-01,MONISTROL DE CALDERS,Moianès,761.0,100.0,5 [FO+R+V+P/C+E],nocturn,761.0
175,176.0,2000-10-01,TONA,Osona,8511.0,98.0,3 [FO+MP+R],nocturn,8340.78
176,177.0,2001-05-02,BALENYÀ,Osona,4036.0,100.0,3 [FO+MP+R],nocturn,4036.0
177,178.0,2002-02-05,TARADELL,Osona,6844.0,98.0,3 [FO+MP+R],nocturn i diürn segons barris,6707.12
178,179.0,2002-03-05,CALLDETENES,Osona,2690.0,100.0,3 [FO+MP+R],nocturn,2690.0
179,180.0,2002-04-01,VILADRAU,Osona,1172.0,100.0,3 [FO+MP+R],nocturn,1172.0
180,181.0,2002-05-06,FOLGUEROLES,Osona,2263.0,100.0,3 [FO+MP+R],nocturn,2263.0
181,182.0,2024-02-21,GURB,Osona,2712.0,100.0,3 [FO+MP+R],nocturn,2712.0
182,183.0,2005-03-02,SEVA,Osona,3798.0,100.0,3 [FO+MP+R],diürn,3798.0
183,184.0,2005-10-01,RODA DE TER,Osona,6900.0,100.0,3 [FO+MP+R],nocturn,6900.0
184,185.0,2006-06-01,MALLA,Osona,272.0,100.0,3 [FO+MP+R],diürn,272.0
185,186.0,2024-03-14,SANT BOI DE LLUÇANÈS,Osona,575.0,100.0,3 [FO+MP+R],nocturn,575.0
186,187.0,2006-11-25,SANTA EULÀLIA DE RIUPRIMER,Osona,1487.0,94.0,3 [FO+MP+R],diürn,1397.78
187,188.0,2006-12-18,EL BRULL,Osona,293.0,37.0,3 [FO+MP+R],nocturn,10841.0
188,189.0,2008-10-26,SANT MARTÍ DE CENTELLES,Osona,1259.0,92.0,3 [FO+MP+R],nocturn,1158.28
189,190.0,2023-11-06,SANT PERE DE TORELLÓ,Osona,2592.0,100.0,3 [FO+MP+R],diürn,2592.0
190,191.0,2008-10-26,SANTA EUGÈNIA DE BERGA,Osona,2308.0,97.0,3 [FO+MP+R],nocturn,2238.76
191,192.0,2011-05-02,ESPINELVES,Osona,254.0,96.0,4 [FO+MP+V+R],nocturn,24384.0
192,193.0,2024-02-14,SANT QUIRZE DE BESORA,Osona,2115.0,100.0,4 [FO+MP+V+R],nocturn,2115.0
193,194.0,2024-06-18,MONTESQUIU,Osona,1099.0,100.0,4 [FO+MP+V+R],nocturn,1099.0
194,195.0,2015-02-02,SANT VICENÇ DE TORELLÓ,Osona,2092.0,83.0,3 [FO+MP+R],nocturn,1736.36
195,196.0,2017-05-08,MUNTANYOLA,Osona,712.0,100.0,3 [FO+MP+R],diürn,712.0
196,197.0,2017-11-19,SANT JULIÀ DE VILATORTA,Osona,3297.0,100.0,3 [FO+MP+R],nocturn,3297.0
