,Codi_Municipi,Municipi,Comarca,Província
74,80137,Avinyonet del Penedès,Alt Penedès,Barcelona
75,80121,Avinyó,Bages,Barcelona
76,80116,Avià,Berguedà,Barcelona/Lleida (1)
77,80155,Badalona,Barcelonès,Barcelona
78,89045,Badia del Vallès,Vallès Occidental,Barcelona
79,80168,Bagà,Berguedà,Barcelona/Lleida (1)
80,250390,Baix Pallars,Pallars Sobirà,Lleida
81,250404,Balaguer,Noguera,Lleida
82,80174,Balenyà,Osona,Barcelona/Girona (3)
83,80180,Balsareny,Bages,Barcelona
84,430206,Banyeres del Penedès,Baix Penedès,Tarragona
85,170157,Banyoles,Pla de l'Estany,Girona
86,250411,Barbens,Pla d'Urgell,Lleida
87,430213,Barberà de la Conca,Conca de Barberà,Tarragona
88,82520,Barberà del Vallès,Vallès Occidental,Barcelona
89,80193,Barcelona,Barcelonès,Barcelona
90,250426,"Baronia de Rialb, la",Noguera,Lleida
91,250447,Bassella,Alt Urgell,Lleida
92,430228,Batea,Terra Alta,Tarragona
93,250450,Bausen,Aran,Lleida
94,80207,Begues,Baix Llobregat,Barcelona
95,170139,Begur,Baix Empordà,Girona
96,250463,Belianes,Urgell,Lleida
97,250485,Bell-lloc d'Urgell,Pla d'Urgell,Lleida
98,251706,Bellaguarda,Garrigues,Lleida
99,170182,Bellcaire d'Empordà,Baix Empordà,Girona
100,250479,Bellcaire d'Urgell,Noguera,Lleida
101,250498,Bellmunt d'Urgell,Noguera,Lleida
102,430234,Bellmunt del Priorat,Priorat,Tarragona
103,80214,Bellprat,Anoia,Barcelona
104,250501,Bellpuig,Urgell,Lleida
105,430249,Bellvei,Baix Penedès,Tarragona
106,250518,Bellver de Cerdanya,Cerdanya,Girona/Lleida (2)
107,250523,Bellvís,Pla d'Urgell,Lleida
108,250539,Benavent de Segrià,Segrià,Lleida
109,430252,Benifallet,Baix Ebre,Tarragona
110,430265,Benissanet,Ribera d'Ebre,Tarragona
111,80229,Berga,Berguedà,Barcelona/Lleida (1)
112,170195,Besalú,Garrotxa,Girona
113,170209,Bescanó,Gironès,Girona
114,170216,Beuda,Garrotxa,Girona
115,80235,Bigues i Riells del Fai,Vallès Oriental,Barcelona
116,250557,Biosca,Solsonès,Lleida
117,170221,"Bisbal d'Empordà, la",Baix Empordà,Girona
118,430287,"Bisbal del Penedès, la",Baix Penedès,Tarragona
119,172348,Biure,Alt Empordà,Girona
120,430290,Blancafort,Conca de Barberà,Tarragona
121,170237,Blanes,Selva,Girona/Barcelona (4)
122,170293,Boadella i les Escaules,Alt Empordà,Girona
123,170242,Bolvir,Cerdanya,Girona/Lleida (2)
124,430304,Bonastre,Baix Penedès,Tarragona
125,170255,Bordils,Gironès,Girona
126,250582,"Borges Blanques, les",Garrigues,Lleida
127,430311,"Borges del Camp, les",Baix Camp,Tarragona
128,170268,Borrassà,Alt Empordà,Girona
129,80240,Borredà,Berguedà,Barcelona/Lleida (1)
130,250595,Bossòst,Aran,Lleida
131,430326,Bot,Terra Alta,Tarragona
132,430332,Botarell,Baix Camp,Tarragona
133,250560,Bovera,Garrigues,Lleida
134,170274,Breda,Selva,Girona/Barcelona (4)
135,80253,"Bruc, el",Anoia,Barcelona
136,80266,"Brull, el",Osona,Barcelona/Girona (3)
