,Codi_Municipi,Municipi,Comarca,Província
545,431080,"Pla de Santa Maria, el",Alt Camp,Tarragona
546,81640,"Pla del Penedès, el",Alt Penedès,Barcelona
547,171334,"Planes d'Hostoles, les",Garrotxa,Girona
548,171349,Planoles,Ripollès,Girona
549,259118,"Plans de Sió, els",Segarra,Lleida
550,251689,"Poal, el",Pla d'Urgell,Lleida
551,81653,"Pobla de Claramunt, la",Anoia,Barcelona
552,251692,"Pobla de Cérvoles, la",Garrigues,Lleida
553,81666,"Pobla de Lillet, la",Berguedà,Barcelona/Lleida (1)
554,431093,"Pobla de Mafumet, la",Tarragonès,Tarragona
555,431107,"Pobla de Massaluca, la",Terra Alta,Tarragona
556,431114,"Pobla de Montornès, la",Tarragonès,Tarragona
557,251713,"Pobla de Segur, la",Pallars Jussà,Lleida
558,431129,Poboleda,Priorat,Tarragona
559,81672,Polinyà,Vallès Occidental,Barcelona
560,431135,"Pont d'Armentera, el",Alt Camp,Tarragona
561,250306,"Pont de Bar, el",Alt Urgell,Lleida
562,171352,Pont de Molins,Alt Empordà,Girona
563,251734,"Pont de Suert, el",Alta Ribagorça,Lleida
564,81825,"Pont de Vilomara i Rocafort, el",Bages,Barcelona
565,431418,Pontils,Conca de Barberà,Tarragona
566,81688,Pontons,Alt Penedès,Barcelona
567,251728,Ponts,Noguera,Lleida
568,171365,Pontós,Alt Empordà,Girona
569,171371,Porqueres,Pla de l'Estany,Girona
570,431140,Porrera,Priorat,Tarragona
571,171404,"Port de la Selva, el",Alt Empordà,Girona
572,171387,Portbou,Alt Empordà,Girona
573,251749,"Portella, la",Segrià,Lleida
574,431153,Pradell de la Teixeta,Priorat,Tarragona
575,431166,Prades,Baix Camp,Tarragona
576,431172,Prat de Comte,Terra Alta,Tarragona
577,81691,"Prat de Llobregat, el",Baix Llobregat,Barcelona
578,431188,Pratdip,Baix Camp,Tarragona
579,81712,Prats de Lluçanès,Lluçanès,Barcelona
580,81705,"Prats de Rei, els",Anoia,Barcelona
581,251752,Prats i Sansor,Cerdanya,Girona/Lleida (2)
582,251765,Preixana,Urgell,Lleida
583,251771,Preixens,Noguera,Lleida
584,82303,Premià de Dalt,Maresme,Barcelona
585,81727,Premià de Mar,Maresme,Barcelona
586,171390,"Preses, les",Garrotxa,Girona
587,251790,Prullans,Cerdanya,Girona/Lleida (2)
588,81751,Puig-reig,Berguedà,Barcelona/Lleida (1)
589,171411,Puigcerdà,Cerdanya,Girona/Lleida (2)
590,81748,Puigdàlber,Alt Penedès,Barcelona
591,251804,Puiggròs,Garrigues,Lleida
592,431191,Puigpelat,Alt Camp,Tarragona
593,251811,Puigverd d'Agramunt,Urgell,Lleida
594,251826,Puigverd de Lleida,Segrià,Lleida
595,81764,Pujalt,Anoia,Barcelona
596,81770,"Quar, la",Berguedà,Barcelona/Lleida (1)
597,171426,Quart,Gironès,Girona
598,170433,Queralbs,Ripollès,Girona
599,431205,Querol,Alt Camp,Tarragona
600,171432,Rabós,Alt Empordà,Girona
601,81786,Rajadell,Bages,Barcelona
602,431212,Rasquera,Ribera d'Ebre,Tarragona
603,171447,Regencós,Baix Empordà,Girona
604,81799,Rellinars,Vallès Occidental,Barcelona
605,431227,Renau,Tarragonès,Tarragona
606,431233,Reus,Baix Camp,Tarragona
607,251832,Rialp,Pallars Sobirà,Lleida
608,431248,"Riba, la",Alt Camp,Tarragona
609,431251,Riba-roja d'Ebre,Ribera d'Ebre,Tarragona
610,259059,Ribera d'Ondara,Segarra,Lleida
611,251850,Ribera d'Urgellet,Alt Urgell,Lleida
612,171450,Ribes de Freser,Ripollès,Girona
613,171463,Riells i Viabrea,Selva,Girona/Barcelona (4)
614,431264,"Riera de Gaià, la",Tarragonès,Tarragona
615,251863,Riner,Solsonès,Lleida
616,171479,Ripoll,Ripollès,Girona
617,81803,Ripollet,Vallès Occidental,Barcelona
618,259139,Riu de Cerdanya,Cerdanya,Girona/Lleida (2)
619,171485,Riudarenes,Selva,Girona/Barcelona (4)
620,171498,Riudaura,Garrotxa,Girona
621,431270,Riudecanyes,Baix Camp,Tarragona
622,431286,Riudecols,Baix Camp,Tarragona
623,171501,Riudellots de la Selva,Selva,Girona/Barcelona (4)
624,431299,Riudoms,Baix Camp,Tarragona
625,171518,Riumors,Alt Empordà,Girona
626,81810,"Roca del Vallès, la",Vallès Oriental,Barcelona
627,431303,Rocafort de Queralt,Conca de Barberà,Tarragona
628,431310,Roda de Berà,Tarragonès,Tarragona
629,81831,Roda de Ter,Osona,Barcelona/Girona (3)
630,431325,Rodonyà,Alt Camp,Tarragona
631,431331,Roquetes,Baix Ebre,Tarragona
632,171523,Roses,Alt Empordà,Girona
633,251898,Rosselló,Segrià,Lleida
634,431346,"Rourell, el",Alt Camp,Tarragona
635,81859,Rubió,Anoia,Barcelona
636,81846,Rubí,Vallès Occidental,Barcelona
637,89019,Rupit i Pruit,Osona,Barcelona/Girona (3)
638,171539,Rupià,Baix Empordà,Girona
639,431362,"Ràpita, la",Montsià,Tarragona
640,81878,Sabadell,Vallès Occidental,Barcelona
641,81884,Sagàs,Berguedà,Barcelona/Lleida (1)
642,81901,Saldes,Berguedà,Barcelona/Lleida (1)
643,171544,Sales de Llierca,Garrotxa,Girona
644,81918,Sallent,Bages,Barcelona
645,431359,Salomó,Tarragonès,Tarragona
646,439057,Salou,Tarragonès,Tarragona
647,171557,Salt,Gironès,Girona
648,251902,Salàs de Pallars,Pallars Jussà,Lleida
649,251919,Sanaüja,Segarra,Lleida
650,81944,Sant Adrià de Besòs,Barcelonès,Barcelona
651,81957,Sant Agustí de Lluçanès,Osona,Barcelona/Girona (3)
652,171576,Sant Andreu Salou,Gironès,Girona
653,81976,Sant Andreu de Llavaneres,Maresme,Barcelona
654,81960,Sant Andreu de la Barca,Baix Llobregat,Barcelona
655,171833,Sant Aniol de Finestres,Garrotxa,Girona
656,81982,Sant Antoni de Vilamajor,Vallès Oriental,Barcelona
657,81995,Sant Bartomeu del Grau,Osona,Barcelona/Girona (3)
658,82009,Sant Boi de Llobregat,Baix Llobregat,Barcelona
659,82016,Sant Boi de Lluçanès,Osona,Barcelona/Girona (3)
660,82037,Sant Cebrià de Vallalta,Maresme,Barcelona
661,82021,Sant Celoni,Vallès Oriental,Barcelona
662,171582,Sant Climent Sescebes,Alt Empordà,Girona
663,82042,Sant Climent de Llobregat,Baix Llobregat,Barcelona
664,82068,Sant Cugat Sesgarrigues,Alt Penedès,Barcelona
665,82055,Sant Cugat del Vallès,Vallès Occidental,Barcelona
666,82080,Sant Esteve Sesrovires,Baix Llobregat,Barcelona
667,82074,Sant Esteve de Palautordera,Vallès Oriental,Barcelona
668,251961,Sant Esteve de la Sarga,Pallars Jussà,Lleida
669,82129,Sant Feliu Sasserra,Bages,Barcelona
670,171595,Sant Feliu de Buixalleu,Selva,Girona/Barcelona (4)
671,82107,Sant Feliu de Codines,Vallès Oriental,Barcelona
672,171609,Sant Feliu de Guíxols,Baix Empordà,Girona
673,82114,Sant Feliu de Llobregat,Baix Llobregat,Barcelona
674,171616,Sant Feliu de Pallerols,Garrotxa,Girona
675,171621,Sant Ferriol,Garrotxa,Girona
676,82093,Sant Fost de Campsentelles,Vallès Oriental,Barcelona
677,82135,Sant Fruitós de Bages,Bages,Barcelona
678,171637,Sant Gregori,Gironès,Girona
679,251924,Sant Guim de Freixenet,Segarra,Lleida
680,251977,Sant Guim de la Plana,Segarra,Lleida
681,171642,Sant Hilari Sacalm,Selva,Girona/Barcelona (4)
682,82153,Sant Hipòlit de Voltregà,Osona,Barcelona/Girona (3)
683,81939,Sant Iscle de Vallalta,Maresme,Barcelona
684,439023,Sant Jaume d'Enveja,Montsià,Tarragona
685,82166,Sant Jaume de Frontanyà,Berguedà,Barcelona/Lleida (1)
686,171655,Sant Jaume de Llierca,Garrotxa,Girona
687,431378,Sant Jaume dels Domenys,Baix Penedès,Tarragona
688,82172,Sant Joan Despí,Baix Llobregat,Barcelona
689,171680,Sant Joan de Mollet,Gironès,Girona
690,82188,Sant Joan de Vilatorrada,Bages,Barcelona
691,171674,Sant Joan de les Abadesses,Ripollès,Girona
692,171851,Sant Joan les Fonts,Garrotxa,Girona
693,171668,Sant Jordi Desvalls,Gironès,Girona
694,89030,Sant Julià de Cerdanyola,Berguedà,Barcelona/Lleida (1)
695,171693,Sant Julià de Ramis,Gironès,Girona
696,82205,Sant Julià de Vilatorta,Osona,Barcelona/Girona (3)
697,179032,Sant Julià del Llor i Bonmatí,Selva,Girona/Barcelona (4)
698,82212,Sant Just Desvern,Baix Llobregat,Barcelona
699,82233,Sant Llorenç Savall,Vallès Occidental,Barcelona
700,82227,Sant Llorenç d'Hortons,Alt Penedès,Barcelona
701,251930,Sant Llorenç de Morunys,Solsonès,Lleida
702,171714,Sant Llorenç de la Muga,Alt Empordà,Girona
703,82270,Sant Martí Sarroca,Alt Penedès,Barcelona
704,82286,Sant Martí Sesgueioles,Anoia,Barcelona
705,171735,Sant Martí Vell,Gironès,Girona
706,82251,Sant Martí d'Albars,Lluçanès,Barcelona
707,82248,Sant Martí de Centelles,Osona,Barcelona/Girona (3)
708,171729,Sant Martí de Llémena,Gironès,Girona
709,259025,Sant Martí de Riucorb,Urgell,Lleida
710,82264,Sant Martí de Tous,Anoia,Barcelona
711,82299,Sant Mateu de Bages,Bages,Barcelona
712,171740,Sant Miquel de Campmajor,Pla de l'Estany,Girona
713,171753,Sant Miquel de Fluvià,Alt Empordà,Girona
714,171766,Sant Mori,Alt Empordà,Girona
715,171772,Sant Pau de Segúries,Ripollès,Girona
716,171788,Sant Pere Pescador,Alt Empordà,Girona
717,81897,Sant Pere Sallavinera,Anoia,Barcelona
718,82310,Sant Pere de Ribes,Garraf,Barcelona
719,82325,Sant Pere de Riudebitlles,Alt Penedès,Barcelona
720,82331,Sant Pere de Torelló,Osona,Barcelona/Girona (3)
721,82346,Sant Pere de Vilamajor,Vallès Oriental,Barcelona
722,82359,Sant Pol de Mar,Maresme,Barcelona
723,82362,Sant Quintí de Mediona,Alt Penedès,Barcelona
724,82397,Sant Quirze Safaja,Moianès,Barcelona
725,82378,Sant Quirze de Besora,Osona,Barcelona/Girona (3)
726,82384,Sant Quirze del Vallès,Vallès Occidental,Barcelona
727,251945,Sant Ramon,Segarra,Lleida
728,82401,Sant Sadurní d'Anoia,Alt Penedès,Barcelona
729,82418,Sant Sadurní d'Osormort,Osona,Barcelona/Girona (3)
730,80983,Sant Salvador de Guardiola,Bages,Barcelona
731,82628,Sant Vicenç de Castellet,Bages,Barcelona
732,82649,Sant Vicenç de Montalt,Maresme,Barcelona
733,82652,Sant Vicenç de Torelló,Osona,Barcelona/Girona (3)
734,82634,Sant Vicenç dels Horts,Baix Llobregat,Barcelona
735,431384,Santa Bàrbara,Montsià,Tarragona
736,82439,Santa Cecília de Voltregà,Osona,Barcelona/Girona (3)
737,82444,Santa Coloma de Cervelló,Baix Llobregat,Barcelona
738,171805,Santa Coloma de Farners,Selva,Girona/Barcelona (4)
739,82457,Santa Coloma de Gramenet,Barcelonès,Barcelona
740,431397,Santa Coloma de Queralt,Conca de Barberà,Tarragona
741,171812,Santa Cristina d'Aro,Baix Empordà,Girona
742,82460,Santa Eugènia de Berga,Osona,Barcelona/Girona (3)
743,82476,Santa Eulàlia de Riuprimer,Osona,Barcelona/Girona (3)
744,82482,Santa Eulàlia de Ronçana,Vallès Oriental,Barcelona
745,82495,Santa Fe del Penedès,Alt Penedès,Barcelona
746,171827,Santa Llogaia d'Àlguema,Alt Empordà,Girona
747,82508,Santa Margarida de Montbui,Anoia,Barcelona
748,82515,Santa Margarida i els Monjos,Alt Penedès,Barcelona
749,82589,Santa Maria d'Oló,Moianès,Barcelona
750,82536,Santa Maria de Besora,Osona,Barcelona/Girona (3)
751,82567,Santa Maria de Martorelles,Vallès Oriental,Barcelona
752,82554,Santa Maria de Merlès,Berguedà,Barcelona/Lleida (1)
753,82573,Santa Maria de Miralles,Anoia,Barcelona
754,82592,Santa Maria de Palautordera,Vallès Oriental,Barcelona
755,431401,Santa Oliva,Baix Penedès,Tarragona
756,171848,Santa Pau,Garrotxa,Girona
757,82606,Santa Perpètua de Mogoda,Vallès Occidental,Barcelona
758,82613,Santa Susanna,Maresme,Barcelona
759,81923,Santpedor,Bages,Barcelona
760,431423,Sarral,Conca de Barberà,Tarragona
761,171864,Sarrià de Ter,Gironès,Girona
762,252017,Sarroca de Bellera,Pallars Jussà,Lleida
763,252000,Sarroca de Lleida,Segrià,Lleida
764,171870,"Saus, Camallera i Llampaies",Alt Empordà,Girona
765,431439,Savallà del Comtat,Conca de Barberà,Tarragona
766,431444,"Secuita, la",Tarragonès,Tarragona
767,171886,"Selva de Mar, la",Alt Empordà,Girona
768,431457,"Selva del Camp, la",Baix Camp,Tarragona
769,431460,Senan,Conca de Barberà,Tarragona
770,252022,Senterada,Pallars Jussà,Lleida
771,250352,"Sentiu de Sió, la",Noguera,Lleida
772,82671,Sentmenat,Vallès Occidental,Barcelona
773,171903,Serinyà,Pla de l'Estany,Girona
774,171910,Serra de Daró,Baix Empordà,Girona
775,252043,Seròs,Segrià,Lleida
776,171925,Setcases,Ripollès,Girona
777,252038,"Seu d'Urgell, la",Alt Urgell,Lleida
778,82690,Seva,Osona,Barcelona/Girona (3)
779,252056,Sidamon,Pla d'Urgell,Lleida
780,171931,Sils,Selva,Girona/Barcelona (4)
781,82704,Sitges,Garraf,Barcelona
782,170524,Siurana,Alt Empordà,Girona
783,82711,Sobremunt,Lluçanès,Barcelona
784,252069,"Soleràs, el",Garrigues,Lleida
785,431476,Solivella,Conca de Barberà,Tarragona
786,252075,Solsona,Solsonès,Lleida
787,82726,Sora,Osona,Barcelona/Girona (3)
788,252081,Soriguera,Pallars Sobirà,Lleida
789,252094,Sort,Pallars Sobirà,Lleida
790,252108,Soses,Segrià,Lleida
791,82732,Subirats,Alt Penedès,Barcelona
792,252115,Sudanell,Segrià,Lleida
793,252120,Sunyer,Segrià,Lleida
794,171946,Susqueda,Selva,Girona/Barcelona (4)
795,430445,"Sénia, la",Montsià,Tarragona
796,82747,Súria,Bages,Barcelona
797,82763,Tagamanent,Vallès Oriental,Barcelona
798,82779,Talamanca,Bages,Barcelona
799,252154,Talarn,Pallars Jussà,Lleida
800,252167,Talavera,Segarra,Lleida
801,171959,"Tallada d'Empordà, la",Baix Empordà,Girona
802,82785,Taradell,Osona,Barcelona/Girona (3)
803,431482,Tarragona,Tarragonès,Tarragona
804,252192,Tarroja de Segarra,Segarra,Lleida
805,252189,Tarrés,Garrigues,Lleida
806,82802,Tavertet,Osona,Barcelona/Girona (3)
807,82750,Tavèrnoles,Osona,Barcelona/Girona (3)
808,82819,Teià,Maresme,Barcelona
809,171962,Terrades,Alt Empordà,Girona
810,82798,Terrassa,Vallès Occidental,Barcelona
811,82824,Tiana,Maresme,Barcelona
812,252228,Tiurana,Noguera,Lleida
813,431495,Tivenys,Baix Ebre,Tarragona
814,431508,Tivissa,Ribera d'Ebre,Tarragona
815,82830,Tona,Osona,Barcelona/Girona (3)
816,82845,Tordera,Maresme,Barcelona
817,82858,Torelló,Osona,Barcelona/Girona (3)
818,252249,"Torms, els",Garrigues,Lleida
819,252252,Tornabous,Urgell,Lleida
820,252271,"Torre de Cabdella, la",Pallars Jussà,Lleida
821,82861,"Torre de Claramunt, la",Anoia,Barcelona
822,431515,"Torre de Fontaubella, la",Priorat,Tarragona
823,431520,"Torre de l'Espanyol, la",Ribera d'Ebre,Tarragona
824,252332,Torre-serona,Segrià,Lleida
825,252265,Torrebesses,Segrià,Lleida
826,431536,Torredembarra,Tarragonès,Tarragona
827,252287,Torrefarrera,Segrià,Lleida
828,259078,Torrefeta i Florejacs,Segarra,Lleida
829,252304,Torregrossa,Pla d'Urgell,Lleida
830,252311,Torrelameu,Noguera,Lleida
831,82877,Torrelavit,Alt Penedès,Barcelona
832,82883,Torrelles de Foix,Alt Penedès,Barcelona
833,82896,Torrelles de Llobregat,Baix Llobregat,Barcelona
834,171978,Torrent,Baix Empordà,Girona
835,252326,Torres de Segre,Segrià,Lleida
836,171984,Torroella de Fluvià,Alt Empordà,Girona
837,171997,Torroella de Montgrí,Baix Empordà,Girona
838,431541,Torroja del Priorat,Priorat,Tarragona
839,172001,Tortellà,Garrotxa,Girona
840,431554,Tortosa,Baix Ebre,Tarragona
841,252234,Torà,Solsonès,Lleida
842,172018,Toses,Ripollès,Girona
843,172023,Tossa de Mar,Selva,Girona/Barcelona (4)
844,252347,Tremp,Pallars Jussà,Lleida
845,252173,Tàrrega,Urgell,Lleida
846,252206,Térmens,Noguera,Lleida
847,252213,Tírvia,Pallars Sobirà,Lleida
848,82900,Ullastrell,Vallès Occidental,Barcelona
849,172057,Ullastret,Baix Empordà,Girona
850,431567,Ulldecona,Montsià,Tarragona
851,431573,Ulldemolins,Priorat,Tarragona
852,172044,Ullà,Baix Empordà,Girona
853,172039,Ultramort,Baix Empordà,Girona
854,172060,Urús,Cerdanya,Girona/Lleida (2)
855,82917,Vacarisses,Vallès Occidental,Barcelona
856,170144,"Vajol, la",Alt Empordà,Girona
857,172076,"Vall d'en Bas, la",Garrotxa,Girona
858,172082,"Vall de Bianya, la",Garrotxa,Girona
859,250432,"Vall de Boí, la",Alta Ribagorça,Lleida
860,259010,Vall de Cardós,Pallars Sobirà,Lleida
861,172095,Vall-llobrega,Baix Empordà,Girona
862,82922,Vallbona d'Anoia,Anoia,Barcelona
863,252385,Vallbona de les Monges,Urgell,Lleida
864,82938,Vallcebre,Berguedà,Barcelona/Lleida (1)
865,431589,Vallclara,Conca de Barberà,Tarragona
866,252402,Vallfogona de Balaguer,Noguera,Lleida
867,171707,Vallfogona de Ripollès,Ripollès,Girona
868,431592,Vallfogona de Riucorb,Conca de Barberà,Tarragona
869,82943,Vallgorguina,Vallès Oriental,Barcelona
870,82956,Vallirana,Baix Llobregat,Barcelona
871,431606,Vallmoll,Alt Camp,Tarragona
872,82969,Vallromanes,Vallès Oriental,Barcelona
873,431613,Valls,Alt Camp,Tarragona
874,259062,"Valls d'Aguilar, les",Alt Urgell,Lleida
875,252398,"Valls de Valira, les",Alt Urgell,Lleida
876,431628,Vandellòs i l'Hospitalet de l'Infant,Baix Camp,Tarragona
877,259097,"Vansa i Fórnols, la",Alt Urgell,Lleida
878,82975,Veciana,Anoia,Barcelona
879,431634,"Vendrell, el",Baix Penedès,Tarragona
880,172109,Ventalló,Alt Empordà,Girona
881,252424,Verdú,Urgell,Lleida
882,172116,Verges,Baix Empordà,Girona
883,431649,Vespella de Gaià,Tarragonès,Tarragona
884,82981,Vic,Osona,Barcelona/Girona (3)
885,172137,Vidreres,Selva,Girona/Barcelona (4)
886,172121,Vidrà,Osona,Barcelona/Girona (3)
887,252430,Vielha e Mijaran,Aran,Lleida
888,431704,Vila-rodona,Alt Camp,Tarragona
889,172305,Vila-sacra,Alt Empordà,Girona
890,252521,Vila-sana,Pla d'Urgell,Lleida
891,431711,Vila-seca,Tarragonès,Tarragona
892,431652,Vilabella,Alt Camp,Tarragona
893,172142,Vilabertran,Alt Empordà,Girona
894,172155,Vilablareix,Gironès,Girona
895,82994,Vilada,Berguedà,Barcelona/Lleida (1)
896,172174,Viladamat,Alt Empordà,Girona
897,172168,Viladasens,Gironès,Girona
898,83015,Viladecans,Baix Llobregat,Barcelona
899,83008,Viladecavalls,Vallès Occidental,Barcelona
900,172180,Vilademuls,Pla de l'Estany,Girona
901,172207,Viladrau,Osona,Barcelona/Girona (3)
902,172214,Vilafant,Alt Empordà,Girona
903,83054,Vilafranca del Penedès,Alt Penedès,Barcelona
904,252445,Vilagrassa,Urgell,Lleida
905,172235,Vilajuïga,Alt Empordà,Girona
906,83067,Vilalba Sasserra,Vallès Oriental,Barcelona
907,431750,Vilalba dels Arcs,Terra Alta,Tarragona
908,252458,Vilaller,Alta Ribagorça,Lleida
909,172240,Vilallonga de Ter,Ripollès,Girona
910,431665,Vilallonga del Camp,Tarragonès,Tarragona
911,172253,Vilamacolum,Alt Empordà,Girona
912,172266,Vilamalla,Alt Empordà,Girona
913,172272,Vilamaniscle,Alt Empordà,Girona
914,252477,Vilamòs,Aran,Lleida
915,172288,Vilanant,Alt Empordà,Girona
916,431671,Vilanova d'Escornalbou,Baix Camp,Tarragona
917,252483,Vilanova de Bellpuig,Pla d'Urgell,Lleida
918,252509,Vilanova de Meià,Noguera,Lleida
919,431687,Vilanova de Prades,Conca de Barberà,Tarragona
920,83036,Vilanova de Sau,Osona,Barcelona/Girona (3)
921,252516,Vilanova de Segrià,Segrià,Lleida
922,252496,Vilanova de l'Aguda,Noguera,Lleida
923,252542,Vilanova de la Barca,Segrià,Lleida
924,83020,Vilanova del Camí,Anoia,Barcelona
925,89024,Vilanova del Vallès,Vallès Oriental,Barcelona
926,83073,Vilanova i la Geltrú,Garraf,Barcelona
927,431690,Vilaplana,Baix Camp,Tarragona
928,82140,Vilassar de Dalt,Maresme,Barcelona
929,82191,Vilassar de Mar,Maresme,Barcelona
930,431726,Vilaverd,Conca de Barberà,Tarragona
931,172229,Vilaür,Alt Empordà,Girona
932,431732,"Vilella Alta, la",Priorat,Tarragona
933,431747,"Vilella Baixa, la",Priorat,Tarragona
934,172333,Vilobí d'Onyar,Selva,Girona/Barcelona (4)
935,83041,Vilobí del Penedès,Alt Penedès,Barcelona
936,172327,Vilopriu,Baix Empordà,Girona
937,252537,"Vilosell, el",Garrigues,Lleida
938,431763,Vimbodí i Poblet,Conca de Barberà,Tarragona
939,252555,Vinaixa,Garrigues,Lleida
940,431779,Vinebre,Ribera d'Ebre,Tarragona
941,431785,Vinyols i els Arcs,Baix Camp,Tarragona
942,83089,Viver i Serrateix,Berguedà,Barcelona/Lleida (1)
943,430521,Xerta,Baix Ebre,Tarragona
944,250024,Àger,Noguera,Lleida
945,81430,Òdena,Anoia,Barcelona
946,81537,Òrrius,Maresme,Barcelona
